date,weekday,usdjpy,eurjpy,usdjpy_prev,policy_rate,cpi_total,cpi_core,tankan_di
2026-04-05,日,159.63,183.93,158.69,0.5,3.2,2.8,12
2026-04-06,月,159.77,183.91,159.49,0.5,3.2,2.8,12
2026-04-07,火,159.73,184.28,159.78,0.5,3.2,2.8,12
2026-04-08,水,158.75,185.43,159.68,0.5,3.2,2.8,12
2026-04-09,木,158.67,184.99,158.72,0.5,3.2,2.8,12
2026-04-10,金,159.07,186.01,158.64,0.5,3.2,2.8,12
2026-04-11,土,159.24,186.74,158.64,0.5,3.2,2.8,12
2026-04-13,月,159.72,186.42,159.11,0.5,3.2,2.8,12
2026-04-14,火,159.23,187.34,159.68,0.5,3.2,2.8,12
2026-04-15,水,158.8,187.38,159.21,0.5,3.2,2.8,12
2026-04-16,木,158.82,187.52,158.79,0.5,3.2,2.8,12
2026-04-17,金,159.17,187.57,158.81,0.5,3.2,2.8,12
2026-04-20,月,159.11,186.83,159.2,0.5,3.2,2.8,12
2026-04-21,火,158.82,187.17,159.16,0.5,3.2,2.8,12
2026-04-22,水,159.42,187.17,158.84,0.5,3.2,2.8,12
2026-04-23,木,159.48,186.7,159.37,0.5,3.2,2.8,12
2026-04-24,金,159.78,186.66,159.49,0.5,3.2,2.8,12
2026-04-27,月,159.58,186.82,159.75,0.5,3.2,2.8,12
2026-04-28,火,159.36,186.78,159.58,0.5,3.2,2.8,12
2026-04-29,水,159.56,186.88,159.36,0.5,3.2,2.8,12
2026-04-30,木,160.19,187.19,159.55,0.5,3.2,2.8,12
2026-05-01,金,156.98,184.18,160.18,0.5,3.2,2.8,12
